id,source,timestamp,data.status,data.code,data.locale,data.seed,data.total,data.data.id,data.data.street,data.data.streetName,data.data.buildingNumber,data.data.city,data.data.zipcode,data.data.country,data.data.country_code,data.data.latitude,data.data.longitude,data.page,data.results.adult,data.results.backdrop_path,data.results.genre_ids,data.results.id,data.results.original_language,data.results.original_title,data.results.overview,data.results.popularity,data.results.poster_path,data.results.release_date,data.results.title,data.results.video,data.results.vote_average,data.results.vote_count,data.total_pages,data.total_results
1,Mock addresses,2026-04-03T20:35:18+00:00,OK,200,en_US,,10,1,757 Danial Place Suite 396,Kaci Skyway,7996,North Katelynnland,79891-6779,Canada,CA,6.76254,60.000344,,,,,,,,,,,,,,,,,
1,Mock addresses,2026-04-03T20:35:18+00:00,OK,200,en_US,,10,2,527 Austen Knoll Suite 988,Casper Motorway,4926,Port Heaven,58070,Tajikistan,TJ,56.720351,132.016609,,,,,,,,,,,,,,,,,
1,Mock addresses,2026-04-03T20:35:18+00:00,OK,200,en_US,,10,3,9722 Keely Neck Suite 163,Mariane Roads,7389,South Elvie,25483,Uzbekistan,UZ,-7.266589,-47.725877,,,,,,,,,,,,,,,,,
1,Mock addresses,2026-04-03T20:35:18+00:00,OK,200,en_US,,10,4,2988 Alena Garden,Ambrose Divide,918,Grimesfurt,03317-3070,Lebanon,LB,-27.899258,110.517417,,,,,,,,,,,,,,,,,
1,Mock addresses,2026-04-03T20:35:18+00:00,OK,200,en_US,,10,5,277 Angela Stream Suite 098,Cynthia Light,63187,North Elodybury,68335,Palau,PW,54.293695,12.117855,,,,,,,,,,,,,,,,,
1,Mock addresses,2026-04-03T20:35:18+00:00,OK,200,en_US,,10,6,72349 Ciara Squares Apt. 796,Conroy Route,14648,West Geraldborough,73485-9095,South Georgia & South Sandwich Islands,GS,29.342746,85.219436,,,,,,,,,,,,,,,,,
1,Mock addresses,2026-04-03T20:35:18+00:00,OK,200,en_US,,10,7,4893 Kylie Extensions Apt. 931,Beatty Dam,297,Caleighburgh,46264-5036,Trinidad & Tobago,TT,-51.704967,-111.389865,,,,,,,,,,,,,,,,,
1,Mock addresses,2026-04-03T20:35:18+00:00,OK,200,en_US,,10,8,299 Zion Greens,Herman Island,688,Stokesfort,22704-2440,Rwanda,RW,81.266278,55.126923,,,,,,,,,,,,,,,,,
1,Mock addresses,2026-04-03T20:35:18+00:00,OK,200,en_US,,10,9,176 Baumbach Hollow,Marilou Canyon,155,Emmerichville,73617,China,CN,-86.200822,55.260674,,,,,,,,,,,,,,,,,
1,Mock addresses,2026-04-03T20:35:18+00:00,OK,200,en_US,,10,10,41051 Goodwin Pass Suite 776,Reagan Course,185,Quitzonberg,73768,Wallis & Futuna,WF,84.989868,-21.921081,,,,,,,,,,,,,,,,,
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg,18|80,278,en,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",42.6474,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,1994-09-23,The Shawshank Redemption,false,8.718,30035,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/tSPT36ZKlP2WVHJLM4cQPLSzv3b.jpg,18|80,238,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",34.0623,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,1972-03-14,The Godfather,false,8.687,22686,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/kGzFbGhp99zva6oZODW5atUtnqi.jpg,18|80,240,en,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",23.6554,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,1974-12-20,The Godfather Part II,false,8.573,13739,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/zb6fM1CX41D9rF9hdgclu0peUmy.jpg,18|36|10752,424,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,23.1606,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,1993-12-15,Schindler's List,false,8.567,17266,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/w4bTBXcqXc2TUyS5Fc4h67uWbPn.jpg,18,389,en,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",19.3788,/zhG3vKWyDRaZYoaww1UVAi29T9h.jpg,1957-04-10,12 Angry Men,false,8.558,9859,538,10744
